,Temperature,Cool Rate,Final Score,Compute Time
86,2500.0,0.98,3152,73.6388909816742
87,2500.0,0.985,5719,101.37627720832825
88,2500.0,0.99,4075,92.07972407341003
89,2500.0,0.995,5814,106.71986198425293
90,2750.0,0.95,4528,91.04070472717285
91,2750.0,0.955,3872,85.55098700523376
92,2750.0,0.96,4156,89.62600708007812
93,2750.0,0.965,4523,87.48894381523132
94,2750.0,0.97,5340,94.97467756271362
95,2750.0,0.975,4453,90.45246076583862
96,2750.0,0.98,4498,82.75239586830139
97,2750.0,0.985,3561,78.3330590724945
98,2750.0,0.99,4663,88.53124713897705
99,2750.0,0.995,5280,103.47045135498047
100,3000.0,0.95,4049,71.37450408935547
101,3000.0,0.955,4819,69.73474192619324
102,3000.0,0.96,4388,59.250171184539795
103,3000.0,0.965,4172,62.62743806838989
104,3000.0,0.97,3301,48.196388959884644
105,3000.0,0.975,4130,60.387845039367676
106,3000.0,0.98,4521,64.3094642162323
107,3000.0,0.985,4973,62.94420099258423
108,3000.0,0.99,4469,58.11125302314758
109,3000.0,0.995,4718,68.65598392486572
110,3250.0,0.95,4982,68.54416513442993
111,3250.0,0.955,5592,77.29892206192017
112,3250.0,0.96,6586,77.14959597587585
113,3250.0,0.965,3843,58.66439414024353
114,3250.0,0.97,4862,64.37685918807983
115,3250.0,0.975,4840,65.90189099311829
116,3250.0,0.98,6510,73.22231793403625
117,3250.0,0.985,4483,62.67491674423218
118,3250.0,0.99,5936,79.0115966796875
119,3250.0,0.995,4568,62.2198748588562
120,3500.0,0.95,4308,65.71787023544312
121,3500.0,0.955,5794,81.02407908439636
122,3500.0,0.96,5070,69.13066601753235
123,3500.0,0.965,5954,72.93229222297668
124,3500.0,0.97,4527,68.04296588897705
125,3500.0,0.975,6815,90.19041109085083
126,3500.0,0.98,5128,71.83638381958008
127,3500.0,0.985,4179,62.40944266319275
128,3500.0,0.99,3601,55.00912618637085
129,3500.0,0.995,4744,65.47598600387573
130,3750.0,0.95,3346,55.074405908584595
131,3750.0,0.955,4526,66.51631212234497
132,3750.0,0.96,5864,74.90843415260315
133,3750.0,0.965,4526,67.85943603515625
134,3750.0,0.97,3264,53.93938612937927
135,3750.0,0.975,4607,67.6258270740509
136,3750.0,0.98,4522,62.177767276763916
137,3750.0,0.985,4257,59.084402322769165
138,3750.0,0.99,4237,62.97439098358154
139,3750.0,0.995,4039,57.07297086715698
140,4000.0,0.95,4085,62.58636498451233
